,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z, 
k,0.0938722075829543,0.008308017656635504,0.009482888840402142,0.0019804971383494737,0.16535472717812724,0.00335677481076182,0.01471945754519058,0.014400563938168208,0.2824558164515533,0.0017790906497037646,0.004397375002097984,0.011295547238213525,0.023195313942364175,0.007485607827998859,0.05060338027223444,0.003826723284268475,0.0006042194659371276,0.025343649821251743,0.026535304879072186,0.008861885500411205,0.01644819657273292,0.0014937647907890099,0.004968026719927494,0.002484013359963747,0.0160453835954415,0.0011413034356590188,0.1995602624997902
l,0.18672368432022468,0.0013922915403699041,0.0022676844250336162,0.002470156248697332,0.36907635927076793,0.0008682468202991105,0.0019997070113610513,0.004259649866666349,0.12381390219181704,7.5629181192035e-05,0.00048712338752035137,0.07917720214905975,0.002490403431063704,0.000541909880982298,0.05713159358426342,0.0014393364641035321,0.0031406952882424614,0.0003185953695884939,0.015902375232693722,0.011435489499453921,0.04729086744884311,0.0010230782148654813,0.0002501122527610606,0.00010183141719557469,0.005741862716957492,0.00016019094283982216,0.08042002184313674
m,0.1908928250391665,0.04572528657894512,0.001241342704757339,0.00048262548262548264,0.3469049901976731,0.0006067597531012165,0.0006624061502110282,0.00047620474449742745,0.09315527913088889,0.00012841476256110403,0.00016800931435077777,0.0017817548305353184,0.07608788706349683,0.001945483652800726,0.09431743273206687,0.0761553048138414,3.638418272564614e-05,0.0006977202099153318,0.005251093665727812,0.0008421868177965739,0.022117302605107483,0.00020867398916179404,0.0006003390149731614,9.096045681411535e-05,0.0028069326849814655,7.811898055800495e-05,0.03653828044071947
n,0.04331565081403083,0.0006875500129211243,0.05404641887060343,0.051655688369139106,0.13235359248106657,0.01409499025863318,0.0196315093120243,0.0009782215630991607,0.04193625091318595,0.0014512078133888649,0.0011205474256863353,0.001225464375750597,0.0006557309379016352,0.03892762837384317,0.05282310443235415,0.0005667235253471181,0.0022570043888824154,0.0024246995139851285,0.10168860391228426,0.20691987483923843,0.012065449257390087,0.009925831456079571,0.00015350553759402213,0.00013114618758032704,0.0021280081388034048,0.0005409242753313162,0.20629467301385548
o,0.0015406592222882694,0.014125344832442191,0.025669418408555352,0.015940239419826672,0.005694707356277198,0.0103710379783863,0.013710285901485762,0.0009912002565459488,0.06751921747556217,0.0022269888116912217,0.007777413777683566,0.033838667581772786,0.0633646752237983,0.2830973673899069,0.011161626418303308,0.023911841483064855,0.0021232240789521148,0.08291197440074631,0.039500763164903405,0.041094292989111124,0.21455433788465217,0.007568401958880507,0.0023594123753773208,0.001816871058484274,0.008386660994194611,0.0005751530900396233,0.01816821646706779
p,0.18844813685139647,0.001704007383026679,0.001512997705873246,0.0016949595562141479,0.1476524910677843,0.00047450825061273895,0.00040614689247361554,0.024166745416270407,0.03406406263508908,9.047826812531039e-05,0.00014074397263937172,0.09275630985388765,0.0009198623926073223,0.0008907082839891667,0.19818661444395072,0.03769224118691403,3.3175364979280475e-05,0.1632308382107822,0.015632634103873073,0.03473460713330666,0.03254000647422274,0.0003488439893275856,0.0008655754317321361,0.0002744507466467749,0.0013501368232476873,6.534541586827973e-05,0.020123372145159312
q,0.0012877943661763946,8.117901448676413e-05,0.00040220511722987684,0.00010331874571042707,0.0002140174018287418,0.00015866807376958443,6.272923846704501e-05,8.855892489465178e-05,0.0007748905928282031,5.903928326310119e-05,3.320959683549442e-05,0.00018818771540113504,0.0001070087009143709,8.855892489465178e-05,0.00029888637151944975,0.00020663749142085414,0.00028412655070367444,0.00024722699866423623,0.0002287772226445171,0.00032840601315100036,0.9875611610075054,9.22488800985956e-05,0.0001549781185656406,4.427946244732589e-05,0.00024722699866423623,6.641919367098883e-05,0.00659025999424367
r,0.09563835153110434,0.003682238008960995,0.019409557063620287,0.015838441644579607,0.2970419687450353,0.0034330803268740433,0.010853985784989943,0.000737489376072702,0.08316093415899732,0.00010808408160217939,0.0019758985520205645,0.003767316241868735,0.02371121669686365,0.014587010290125456,0.0729419966124973,0.0031908678066571113,0.0032208188172215707,0.016954876415185248,0.04989360880160364,0.0496661547503605,0.01180807739688388,0.009499679220336128,0.00029299901639145016,0.00011459517085532272,0.003141383528333222,0.00022701997862626435,0.20510234998233323
s,0.04744357785783152,0.0008368875013129308,0.011492050321672751,0.0014945764193487789,0.10964656844124715,0.0017309980796387115,0.0003937851220752702,0.0030527758651131606,0.06201287443939267,0.0007860643737028338,0.0011188617426459875,0.0020954187279837036,0.004556011039536252,0.0009863451432478086,0.053826586218047784,0.015404678212426368,0.0048278206553472895,0.000697970952511999,0.054268559194449666,0.07591996449157484,0.04222272501563282,0.0004991960534147307,0.0006727476225129137,4.7058451490830564e-05,0.0037033118985224022,6.776417014679601e-05,0.5001948219891721
t,0.0654988407131134,0.0005574997611955851,0.0038365014719035752,0.0005231987634273209,0.21508853130942973,0.0005996161761768716,0.00031652439712739997,0.014231440555068298,0.1574884722596108,0.00016151862240245925,7.511484321404691e-05,0.0011219465599138568,0.001300832776123032,0.0005019234610140938,0.050667349792023066,0.0024462255876759554,6.86019955365284e-05,0.0955117795704994,0.03366273869586738,0.025188655487725455,0.02687114113775107,0.000641732591158158,0.0011831673280825307,7.29438939882074e-05,0.0035308318209053727,0.00043115051625172593,0.2984217199128147
u,0.01713750415284654,0.012126311891029307,0.01686790952513221,0.010769624582672962,0.1260929475134661,0.003767244525050515,0.004762838422953123,0.0017994760605416946,0.0782782979047868,0.005333616543851337,0.0007859091874581312,0.03221955350772566,0.016284604785168483,0.09624092500912265,0.004902265139508412,0.015927323823995556,0.0006475717421259307,0.19365553976112282,0.10677907945688937,0.0818859641956549,0.002061990425305949,0.03033348038494845,6.862408705455615e-05,0.03469982408269747,0.0009128092849479057,0.0005735012989559335,0.10508526270498723
v,0.11232754067286765,0.0004289240935466591,0.0006911484302127389,0.0007492123904745137,0.35993848966274206,0.0003858443810943745,0.0002341288720232855,0.00031466920399929576,0.17805219762724436,5.6190929285588526e-05,0.00014984247809490274,0.00045327349623708075,0.00043454318647521793,0.00028844677033268776,0.25972009425091874,0.00039333650499911966,8.990548685694164e-05,0.06070868000014984,0.0008278796914743376,0.00044203531037996307,0.010305416430976936,0.00020416037640430497,7.679427002363766e-05,4.495274342847082e-05,0.0004944801777131791,5.244486733321596e-05,0.012135367694710936
w,0.12038114948475834,0.004570344500495839,0.009291596602423145,0.004958392618462467,0.23022032509808993,0.005734488854395723,0.002328288707799767,0.03884792825421463,0.1494847583322554,0.0023929633941275385,0.0025007545380071575,0.012395981546156168,0.004958392618462467,0.02028629327814427,0.06542922433492865,0.013215194239641272,0.0006683050920536369,0.0105204156426508,0.07864441857456991,0.005367998965205019,0.004850601474582848,0.0014444013279868925,0.12010089251067133,0.001121027896348036,0.00692019143707153,0.0011425861251239597,0.08222308455137325
x,0.023610913741651272,0.0013429018047463408,0.03512860594003126,0.001378428307517408,0.08693335228080148,0.0019468523518544835,0.00031973852493960493,0.0026360665056131874,0.08113542702856331,0.000561318743782862,0.0002131590166264033,0.0036308085832030693,0.0033110700582634645,0.0013713230069631946,0.0062952962910331105,0.09916157453460281,0.002181327270143527,0.002287906778456729,0.002650277106721614,0.06162427170669319,0.010416370612476907,0.002756856615034816,0.0002771067216143243,0.006394770498792099,0.008391359954526077,0.0001492113116384823,0.553893704703709
y,0.08614049030995904,0.008445488606887397,0.030052664215407993,0.014104926680582363,0.1430405505724941,0.003545882496790365,0.009144184665368257,0.001126647394300387,0.0036943554092175477,0.0008821037738320858,0.0010829788906453332,0.03211381758792653,0.0363933309461218,0.0294063703613132,0.05431488484615586,0.05730181049616154,0.0003231469270473978,0.023467453864225888,0.11863859073005005,0.02059406632372335,0.003991301234071913,0.0059127153948942785,0.00255897431418615,0.0012401855038035267,0.0008384352701770321,0.002314430693717849,0.3093302124909388
z,0.04422744819179195,0.0024888256806176352,0.0013459975619666803,0.00143488419341731,0.0557700121901666,0.0005460178789110118,0.0012317147501015847,0.004368143031288094,0.03803078017066233,0.0004698293376676148,0.0006222064201544088,0.01103464039008533,0.0072252133279154815,0.015085331166192605,0.04915430719219829,0.0007618854124339699,0.00026665989435188946,0.0006983949613978057,0.0013332994717594473,0.001511072734660707,0.008545814709467695,0.046995631856968714,0.0014729784640390086,0.0005968102397399431,0.006095083299471759,0.01295205201137749,0.6857349654611946
 ,0.07734751110423485,0.01945978667251482,0.0752025199140201,0.12936159474387032,0.0732941086344908,0.026286055904959468,0.012563369618933604,0.008517477622544638,0.019813680177006836,0.014667954462497954,0.0016257170624435775,0.09650717926148013,0.04153441974833906,0.026564844675900545,0.017316297576971087,0.0860897020895639,0.02087611173781839,0.02972735479626339,0.06583080105206711,0.031166061072165133,0.021256892736921638,0.029431742565006903,0.002837006205153086,0.0007642657686143326,0.002152351454102746,0.0007904022158900587,0.06901479112622552
